"year","approval_date","brand_name","active_ingredient","application_number","application_type","analysis_category","chart_category","nme_type1_confirmed","sponsor_name","route","dosage_form","review_designation","accelerated_approval","breakthrough_therapy","fast_track","orphan_drug","abbreviated_indication","approved_use","indication","indication_source","pharm_class_moa","pharm_class_epc","match_score","match_reason","validation_status","fda_source_url","comments","sponsor_name_source","route_source"
"2016","2016-01-28","Zepatier","elbasvir and grazoprevir","NDA208261","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Merck","Oral","Tablet","Priority","No","Yes","No","No","","ZEPATIER is indicated with or without ribavirin for the treatment of chronic hepatitis C virus (HCV) genotypes 1 or 4 infection in adults.","ZEPATIER is indicated with or without ribavirin for the treatment of chronic hepatitis C virus (HCV) genotypes 1 or 4 infection in adults.","FDA compilation: Approved Use(s)","Breast Cancer Resistance Protein Inhibitors [MoA]; Cytochrome P450 3A Inhibitors [MoA]; HCV NS3/4A Protease Inhibitors [MoA]","Hepatitis C Virus NS3/4A Protease Inhibitor [EPC]; Hepatitis C Virus NS5A Inhibitor [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Merck","Oral"
"2016","2016-02-18","Briviact","brivaracetam","NDA205836","NDA novel drug","NDA novel drug","NME/NDA","TRUE","UCB","Oral","Tablet","Standard","No","No","No","No","","BRIVIACT is indicated as adjunctive therapy in the treatment of partial-onset seizures in patients 16 years of age and older with epilepsy.","BRIVIACT is indicated as adjunctive therapy in the treatment of partial-onset seizures in patients 16 years of age and older with epilepsy.","FDA compilation: Approved Use(s)","Epoxide Hydrolase Inhibitors [MoA]","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","UCB","Oral"
"2016","2016-03-18","Anthim","obiltoxaximab","BLA125509","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Elusys Therapeutics","Injection","Injectable","Standard","No","No","Yes","Yes","","ANTHIM is indicated in adult and pediatric patients for the treatment of inhalational anthrax due to Bacillus anthracis in combination with appropriate antibacterial drugs. ANTHIM is indicated for prophylaxis of inhalational anthrax due to B. anthracis when alternative therapies are not available or not appropriate. Limitations of Use: ANTHIM should only be used for prophylaxis when its benefit for prevention of inhalational anthrax outweighs the risk of hypersensitivity and anaphylaxis. The effectiveness of ANTHIM is based solely on efficacy studies in animal models of inhalational anthrax. It is not ethical or feasible to conduct controlled clinical trials with intentional exposure of humans to anthrax. Safety and PK of ANTHIM have been studied in adult healthy volunteers. There have been no studies of safety or PK of ANTHIM in the pediatric population. A population PK approach was used to derive intravenous infusion dosing regimens that are predicted to provide pediatric patients with exposure comparable to the observed exposure in adults. ANTHIM binds to the protective antigen (PA) component of B. anthracis toxin; it does not have direct antibacterial activity. ANTHIM is not expected to cross the blood-brain barrier and does not prevent or treat meningitis. ANTHIM should be used in combination with appropriate antibacterial drugs.","ANTHIM is indicated in adult and pediatric patients for the treatment of inhalational anthrax due to Bacillus anthracis in combination with appropriate antibacterial drugs. ANTHIM is indicated for prophylaxis of inhalational anthrax due to B. anthracis when alternative therapies are not available or not appropriate. Limitations of Use: ANTHIM should only be used for prophylaxis when its benefit for prevention of inhalational anthrax outweighs the risk of hypersensitivity and anaphylaxis. The effectiveness of ANTHIM is based solely on efficacy studies in animal models of inhalational anthrax. It is not ethical or feasible to conduct controlled clinical trials with intentional exposure of humans to anthrax. Safety and PK of ANTHIM have been studied in adult healthy volunteers. There have been no studies of safety or PK of ANTHIM in the pediatric population. A population PK approach was used to derive intravenous infusion dosing regimens that are predicted to provide pediatric patients with exposure comparable to the observed exposure in adults. ANTHIM binds to the protective antigen (PA) component of B. anthracis toxin; it does not have direct antibacterial activity. ANTHIM is not expected to cross the blood-brain barrier and does not prevent or treat meningitis. ANTHIM should be used in combination with appropriate antibacterial drugs.","FDA compilation: Approved Use(s)","Anthrax Protective Antigen-directed Antibody Interactions [MoA]","Anthrax Protective Antigen-directed Antibody [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Elusys Therapeutics","Injection"
"2016","2016-03-22","Taltz","ixekizumab","BLA125521","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Eli Lilly","Injection","Injectable","Standard","No","No","No","No","","TALTZ is indicated for the treatment of adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy.","TALTZ is indicated for the treatment of adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy.","FDA compilation: Approved Use(s)","Interleukin-17A Antagonists [MoA]","Interleukin-17A Antagonist [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Eli Lilly","Injection"
"2016","2016-03-23","Cinqair","reslizumab","BLA761033","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Teva","Injection","Injectable","Standard","No","No","No","No","","CINQAIR is indicated for the add-on maintenance treatment of patients with severe asthma aged 18 years and older with an eosinophilic phenotype. Limitation of Use: - CINQAIR is not indicated for treatment of other eosinophilic conditions. - CINQAIR is not indicated for the relief of acute bronchospasm or status asthmaticus.","CINQAIR is indicated for the add-on maintenance treatment of patients with severe asthma aged 18 years and older with an eosinophilic phenotype. Limitation of Use: - CINQAIR is not indicated for treatment of other eosinophilic conditions. - CINQAIR is not indicated for the relief of acute bronchospasm or status asthmaticus.","FDA compilation: Approved Use(s)","Interleukin-5 Antagonists [MoA]","Interleukin-5 Antagonist [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Teva Respiratory","Injection"
"2016","2016-03-30","Defitelio","defibrotide sodium","NDA208114","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Jazz Pharmaceuticals","Intravenous","Solution","Priority","No","No","Yes","Yes","","DEFITELIO is indicated for the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).","DEFITELIO is indicated for the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Jazz Pharmaceuticals","Intravenous"
"2016","2016-04-11","Venclexta","venetoclax","NDA208573","NDA novel drug","NDA novel drug","NME/NDA","TRUE","AbbVie","Oral","Tablet","Priority","Yes","Yes","No","Yes","","VENCLEXTA is indicated for the treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion, as detected by an FDA approved test, who have received at least one prior therapy._x000D_ This indication is approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.","VENCLEXTA is indicated for the treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion, as detected by an FDA approved test, who have received at least one prior therapy._x000D_ This indication is approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.","FDA compilation: Approved Use(s)","P-Glycoprotein Inhibitors [MoA]","BCL-2 Inhibitor [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","AbbVie","Oral"
"2016","2016-04-29","Nuplazid","pimavanserin","NDA207318","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Acadia Pharmaceuticals","Oral","Tablet","Priority","No","Yes","No","No","","NUPLAZID is indicated for the treatment of hallucinations and delusions associated with Parkinson’s disease psychosis.","NUPLAZID is indicated for the treatment of hallucinations and delusions associated with Parkinson’s disease psychosis.","FDA compilation: Approved Use(s)","","","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Acadia Pharmaceuticals","Oral"
"2016","2016-05-18","Tecentriq","atezolizumab","BLA761034","BLA novel biologic","BLA novel biologic","Biologic (BLA)","","Genentech","Injection","Injectable","Priority","Yes","Yes","No","No","","TECENTRIQ (atezolizumab) is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who: - Have disease progression during or following platinum-containing chemotherapy - Have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","TECENTRIQ (atezolizumab) is indicated for the treatment of patients with locally advanced or metastatic urothelial carcinoma who: - Have disease progression during or following platinum-containing chemotherapy - Have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","FDA compilation: Approved Use(s)","Programmed Death Receptor-1-directed Antibody Interactions [MoA]","Programmed Death Receptor-1 Blocking Antibody [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Genentech","Injection"
"2016","2016-05-27","Axumin","fluciclovine F 18","NDA208054","NDA novel drug","NDA novel drug","NME/NDA","TRUE","Blue Earth Diagnostics","Intravenous","Solution","Priority","No","No","No","No","","Axumin is indicated for positron emission tomography (PET) in men with suspected prostate cancer recurrence based on elevated blood prostate specific antigen (PSA) levels following prior treatment.","Axumin is indicated for positron emission tomography (PET) in men with suspected prostate cancer recurrence based on elevated blood prostate specific antigen (PSA) levels following prior treatment.","FDA compilation: Approved Use(s)","Positron Emitting Activity [MoA]","Radioactive Diagnostic Agent [EPC]","","FDA compilation workbook (2025 Compilation)","FDA_COMPILATION","https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals","","Blue Earth Diagnostics","Intravenous"
